Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test29.in | Greedy | 38 | 38 | 0.000007758699 | PASSED | 2
test30.in | Backtracking | 39 | 39 | 0.000033833000 | PASSED | 3
test30.in | Welsh-Powell | 39 | 39 | 0.000017207200 | PASSED | 3
test30.in | Greedy | 39 | 39 | 0.000008135500 | PASSED | 3
test31.in | Backtracking | 40 | 40 | 0.000011347600 | PASSED | 2
test31.in | Welsh-Powell | 40 | 40 | 0.000016634400 | PASSED | 2
test31.in | Greedy | 40 | 40 | 0.000008277700 | PASSED | 2
test32.in | Backtracking | 41 | 41 | 0.000034497400 | PASSED | 3
test32.in | Welsh-Powell | 41 | 41 | 0.000024313700 | PASSED | 3
test32.in | Greedy | 41 | 41 | 0.000008299900 | PASSED | 3
test33.in | Backtracking | 42 | 42 | 0.000011745300 | PASSED | 2
test33.in | Welsh-Powell | 42 | 42 | 0.000016942801 | PASSED | 2
test33.in | Greedy | 42 | 42 | 0.000008560400 | PASSED | 2
test34.in | Backtracking | 43 | 43 | 0.000046075700 | PASSED | 3
test34.in | Welsh-Powell | 43 | 43 | 0.000019084801 | PASSED | 3
test34.in | Greedy | 43 | 43 | 0.000008621500 | PASSED | 3
test35.in | Backtracking | 44 | 44 | 0.000013785400 | PASSED | 2
test35.in | Welsh-Powell | 44 | 44 | 0.000018133900 | PASSED | 2
test35.in | Greedy | 44 | 44 | 0.000009009799 | PASSED | 2
test36.in | Backtracking | 45 | 45 | 0.000040772600 | PASSED | 3
test36.in | Welsh-Powell | 45 | 45 | 0.000020701199 | PASSED | 3
test36.in | Greedy | 45 | 45 | 0.000009281000 | PASSED | 3
test37.in | Backtracking | 46 | 46 | 0.000013063600 | PASSED | 2
test37.in | Welsh-Powell | 46 | 46 | 0.000018565001 | PASSED | 2
test37.in | Greedy | 46 | 46 | 0.000010719500 | PASSED | 2
test38.in | Backtracking | 47 | 47 | 0.000041159900 | PASSED | 3
test38.in | Welsh-Powell | 47 | 47 | 0.000020283700 | PASSED | 3
test38.in | Greedy | 47 | 47 | 0.000009528700 | PASSED | 3
test39.in | Backtracking | 48 | 48 | 0.000016724200 | PASSED | 2
test39.in | Welsh-Powell | 48 | 48 | 0.000019492400 | PASSED | 2
test39.in | Greedy | 48 | 48 | 0.000010677000 | PASSED | 2
test40.in | Backtracking | 49 | 49 | 0.000041827200 | PASSED | 3
test40.in | Welsh-Powell | 49 | 49 | 0.000021041200 | PASSED | 3
test40.in | Greedy | 49 | 49 | 0.000010464700 | PASSED | 3
test41.in | Backtracking | 50 | 50 | 0.000015479900 | PASSED | 2
test41.in | Welsh-Powell | 50 | 50 | 0.000019798200 | PASSED | 2
test41.in | Greedy | 50 | 50 | 0.000013639000 | PASSED | 2
test42.in | Backtracking | 51 | 51 | 0.000045588000 | PASSED | 3
test42.in | Welsh-Powell | 51 | 51 | 0.000021985100 | PASSED | 3
test42.in | Greedy | 51 | 51 | 0.000015962900 | PASSED | 3
test43.in | Backtracking | 52 | 52 | 0.000014677700 | PASSED | 2
test43.in | Welsh-Powell | 52 | 52 | 0.000025398700 | PASSED | 2
test43.in | Greedy | 52 | 52 | 0.000011364101 | PASSED | 2
test44.in | Backtracking | 53 | 53 | 0.000046659200 | PASSED | 3
test44.in | Welsh-Powell | 53 | 53 | 0.000043190200 | PASSED | 3
test44.in | Greedy | 53 | 53 | 0.000010992500 | PASSED | 3
test45.in | Backtracking | 54 | 54 | 0.000015263000 | PASSED | 2
test45.in | Welsh-Powell | 54 | 54 | 0.000021117600 | PASSED | 2
test45.in | Greedy | 54 | 54 | 0.000011056900 | PASSED | 2
test46.in | Backtracking | 55 | 55 | 0.000046544001 | PASSED | 3
test46.in | Welsh-Powell | 55 | 55 | 0.000023994900 | PASSED | 3
test46.in | Greedy | 55 | 55 | 0.000011078799 | PASSED | 3
test47.in | Backtracking | 56 | 56 | 0.000021973599 | PASSED | 2
test47.in | Welsh-Powell | 56 | 56 | 0.000022079900 | PASSED | 2
test47.in | Greedy | 56 | 56 | 0.000011176500 | PASSED | 2
test48.in | Backtracking | 57 | 57 | 0.000048288801 | PASSED | 3
test48.in | Welsh-Powell | 57 | 57 | 0.000029586600 | PASSED | 3
test48.in | Greedy | 57 | 57 | 0.000012263600 | PASSED | 3
test49.in | Backtracking | 58 | 58 | 0.000017348800 | PASSED | 2
test49.in | Welsh-Powell | 58 | 58 | 0.000024883899 | PASSED | 2
