Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test71.in | Welsh-Powell | 71 | 70 | 0.000047040032 | PASSED | 2
test71.in | Greedy | 71 | 70 | 0.000031409971 | PASSED | 2
test72.in | Backtracking | 72 | 71 | 0.000025090110 | PASSED | 2
test72.in | Welsh-Powell | 72 | 71 | 0.000048139924 | PASSED | 2
test72.in | Greedy | 72 | 71 | 0.000031849928 | PASSED | 2
test73.in | Backtracking | 73 | 72 | 0.000024669943 | PASSED | 2
test73.in | Welsh-Powell | 73 | 72 | 0.000048330007 | PASSED | 2
test73.in | Greedy | 73 | 72 | 0.000032750098 | PASSED | 2
test74.in | Backtracking | 74 | 73 | 0.000032979948 | PASSED | 2
test74.in | Welsh-Powell | 74 | 73 | 0.000050920062 | PASSED | 2
test74.in | Greedy | 74 | 73 | 0.000032989960 | PASSED | 2
test75.in | Backtracking | 75 | 74 | 0.000025410019 | PASSED | 2
test75.in | Welsh-Powell | 75 | 74 | 0.000049739936 | PASSED | 2
test75.in | Greedy | 75 | 74 | 0.000034139864 | PASSED | 2
test76.in | Backtracking | 76 | 75 | 0.000025449926 | PASSED | 2
test76.in | Welsh-Powell | 76 | 75 | 0.000049789948 | PASSED | 2
test76.in | Greedy | 76 | 75 | 0.000033819908 | PASSED | 2
test77.in | Backtracking | 77 | 76 | 0.000025780126 | PASSED | 2
test77.in | Welsh-Powell | 77 | 76 | 0.000052600028 | PASSED | 2
test77.in | Greedy | 77 | 76 | 0.000035489863 | PASSED | 2
test78.in | Backtracking | 78 | 77 | 0.000026750006 | PASSED | 2
test78.in | Welsh-Powell | 78 | 77 | 0.000051050028 | PASSED | 2
test78.in | Greedy | 78 | 77 | 0.000059820106 | PASSED | 2
test79.in | Backtracking | 79 | 78 | 0.000028039981 | PASSED | 2
test79.in | Welsh-Powell | 79 | 78 | 0.000054679951 | PASSED | 2
test79.in | Greedy | 79 | 78 | 0.000037490064 | PASSED | 2
test80.in | Backtracking | 80 | 79 | 0.000027090078 | PASSED | 2
test80.in | Welsh-Powell | 80 | 79 | 0.000053309929 | PASSED | 2
test80.in | Greedy | 80 | 79 | 0.000037850020 | PASSED | 2
